,Algorithm,RMSE,MSE,MAE,Fit Time,Predict Time
0,User-Based,0.9898690998057308,0.9798593529530888,0.7835602962613712,0.2882017135620117,1.67625036239624
1,Item-Based,0.9899142703531864,0.9799431943381276,0.7822988871275411,0.2076188087463379,1.4455649852752686
2,Hybrid,0.9766222769755576,0.9538088906363067,0.7793299563823914,1.3198160648345947,3.1779861450195312
3,Hybrid_V2,0.9715661035918182,0.9439586876291497,0.7778303626359558,1.412200403213501,3.4423923969268797
