Algorithm,RMSE,MSE,MAE,Fit Time,Predict Time
User-Based,0.9898690998057308,0.9798593529530889,0.7835602962613712,0.28820171356201174,1.6762503623962401
Item-Based,0.9899142703531864,0.9799431943381276,0.7822988871275411,0.2076188087463379,1.4455649852752686
