Similarity,K,RMSE,Fit Time
Pearson,20.0,1.0269758628411776,0.6598172187805176
Pearson,25.0,1.0236573424584814,0.6831936836242676
Pearson,30.0,1.0216176237678254,0.6996116161346435
Pearson,35.0,1.020683076829447,0.6704061508178711
Pearson,40.0,1.0201173568402482,0.6956201076507569
Pearson,45.0,1.0197527336640815,0.6798093795776368
Pearson,50.0,1.0196206450261731,0.6787948608398438
Pearson,55.0,1.0194999848596114,0.6849008083343506
Pearson,60.0,1.0194977401851975,0.6797837257385254
Pearson,65.0,1.0195572344561779,0.6916082382202149
Pearson,70.0,1.0195778612953383,0.6749673366546631
Pearson,75.0,1.0196023431245034,0.6803940296173095
Pearson,80.0,1.019620690384464,0.6878183841705322
Pearson,85.0,1.0196673517686539,0.6800012111663818
Pearson,90.0,1.0197082443738599,0.6771957397460937
Pearson,95.0,1.0197504258181935,0.6905830383300782
Pearson,100.0,1.0197886359205364,0.6758327484130859
Cosine,20.0,1.0289031951089034,0.5773765087127686
Cosine,25.0,1.0254335560355237,0.6248033523559571
Cosine,30.0,1.0233857959606187,0.5994268417358398
Cosine,35.0,1.0223122289171733,0.5953950405120849
Cosine,40.0,1.0215698530143424,0.5879890441894531
Cosine,45.0,1.0210314072388555,0.5911712169647216
Cosine,50.0,1.0208044985417668,0.5916028022766113
Cosine,55.0,1.020783547248909,0.5948133945465088
Cosine,60.0,1.0207915291939642,0.5939930438995361
Cosine,65.0,1.0208292823033056,0.5922056198120117
Cosine,70.0,1.0210479736320728,0.5953907489776611
Cosine,75.0,1.0211891873870187,0.6077789783477783
Cosine,80.0,1.0213480685463172,0.5902083873748779
Cosine,85.0,1.0216185034244691,0.5872123718261719
Cosine,90.0,1.0217483238558938,0.5864121437072753
Cosine,95.0,1.0219807060552222,0.6221822261810303
Cosine,100.0,1.022157377723639,0.6058102607727051
